safegraph_place_id,location_name,brands,top_category,sub_category,naics_code,latitude,longitude,city,region
sg:f3a192332e7342bb9b13fce915bfd968,Revitalize Wellness Therapy,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),"621330",44.949659,-93.290386,Minneapolis,MN
sg:51188a397d944ce0bd9c26edb3cbf4ce,Shoff Chiropractic,,Offices of Other Health Practitioners,Offices of Chiropractors,"621310",44.948135,-93.23367,Minneapolis,MN
sg:b0514d8db130437bb8f91ba90fc9ffa1,Starbucks,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"722515",44.976546,-93.262942,Minneapolis,MN
sg:accec932bf3a4206ad375e5b87ce47e3,Bio Medical Library,,Other Information Services,Libraries and Archives,"519120",44.971701,-93.231362,Minneapolis,MN
sg:7a378b29a8064eeab0f45bb060101c6d,Fine Line Music Cafe,,"Sporting Goods, Hobby, and Musical Instrument Stores",Musical Instrument and Supplies Stores,"451140",44.981813,-93.272333,Minneapolis,MN
sg:7fbe2d4a10564e1db0e3c673e769972f,The Healing Room,,Personal Care Services,Other Personal Care Services,"812199",44.961827,-93.276967,Minneapolis,MN
sg:a5907dadabe8409987fec0101a6eca3f,Body Restoration,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,"713940",44.948628,-93.318094,Minneapolis,MN
sg:d7de84bc5b3c4f02be9bc176b5aa9bda,Wang Kyuhyun MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.972039,-93.262257,Minneapolis,MN
sg:fb3b7bef911b4b4fae079aa6353fd98d,Custom Woven Interiors,,"Sporting Goods, Hobby, and Musical Instrument Stores","Sewing, Needlework, and Piece Goods Stores","451130",45.003397,-93.25016,Minneapolis,MN
sg:4ebabca41ada49958925814a6cd9092a,El Jefe Cocina & Bar,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.906227,-93.288021,Minneapolis,MN
sg:8d74bb3ca4c843c18a69db2632c007c7,State Farm,State Farm,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,"524210",44.971515,-93.217635,Minneapolis,MN
sg:974c6247662e45fca76ddc6493d3e52b,Bryant Square Park,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,"712190",44.946358,-93.289201,Minneapolis,MN
sg:25ba685bf5974c63ae862af7031f0490,Mental Wellness Therapy Services,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),"621330",44.947874,-93.220146,Minneapolis,MN
sg:0d1548aa545b401d92b84946ac387a44,Second Foundation School,,Elementary and Secondary Schools,Elementary and Secondary Schools,"611110",44.980473,-93.238221,Minneapolis,MN
sg:86cd483c763740709aad0cf3b032ed07,Lucky Dog Pet Care,,Other Personal Services,Pet Care (except Veterinary) Services,"812910",44.958401,-93.275596,Minneapolis,MN
sg:dc35aedd7fa045a3bc23ef8a01a50973,East Village Market,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"445110",44.968365,-93.257676,Minneapolis,MN
sg:e100a860eeda4524b13086f30864a4cf,Pope John Paul Ii Catholic School,,Elementary and Secondary Schools,Elementary and Secondary Schools,"611110",45.005018,-93.261994,Minneapolis,MN
